Type,Haplotype,Clone,tool,AUROC,AUPRC,Accuracy,Precision,Recall,F1 Score,Kappa,Brier Score,Specificity,PPV,NPV
CN_equal_3,minor,clone8,chisel_5x_acCNA,0.5419787765293383,0.17569112174375331,0.8456140350877193,0.10606060606060606,0.19444444444444445,0.13725490196078433,0.060463025398965975,0.1543859649122807,0.8895131086142322,0.10606060606060606,0.9424603174603174
CN_equal_3,minor,clone9,chisel_5x_acCNA,0.4828484485222924,0.07217257496461604,0.8649122807017544,0.038461538461538464,0.036585365853658534,0.0375,-0.035092684307344024,0.13508771929824562,0.9291115311909263,0.038461538461538464,0.9256120527306968
CN_equal_3,major,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_3,major,clone1,chisel_5x_acCNA,0.5024539486264261,0.07121454752499912,0.9228070175438596,0.058823529411764705,0.034482758620689655,0.043478260869565216,0.006102877070619073,0.07719298245614035,0.9704251386321626,0.058823529411764705,0.9493670886075949
CN_equal_3,major,clone2,chisel_5x_acCNA,0.4984844491302056,0.06426862611073138,0.9157894736842105,0.045454545454545456,0.03571428571428571,0.04,-0.003373918145812116,0.08421052631578947,0.9612546125461254,0.045454545454545456,0.9507299270072993
CN_equal_3,major,clone3,chisel_5x_acCNA,0.5027936507936509,0.11205145506764941,0.8719298245614036,0.08579881656804733,0.06444444444444444,0.07360406091370558,0.006304628170225035,0.1280701754385965,0.9411428571428572,0.08579881656804733,0.9214845207012309
CN_equal_3,major,clone4,chisel_5x_acCNA,0.5033018867924528,0.09833333333333333,0.8929824561403509,0.08,0.05,0.061538461538461535,0.00798858773181177,0.10701754385964912,0.9566037735849057,0.08,0.9302752293577982
CN_equal_3,major,clone5,chisel_5x_acCNA,0.4914016591773246,0.07181020733652313,0.887719298245614,0.045454545454545456,0.022727272727272728,0.030303030303030307,-0.022306916264992704,0.11228070175438597,0.9600760456273765,0.045454545454545456,0.9215328467153284
CN_equal_3,major,clone6,chisel_5x_acCNA,0.4760852317805735,0.06755245958032335,0.8508771929824561,0.027777777777777776,0.0196078431372549,0.022988505747126436,-0.0551417744675291,0.14912280701754385,0.9325626204238922,0.027777777777777776,0.9063670411985019
CN_equal_3,major,clone7,chisel_5x_acCNA,0.5152549177037334,0.15506454816285997,0.8578947368421053,0.13157894736842105,0.09433962264150944,0.10989010989010989,0.03494837172359022,0.14210526315789473,0.9361702127659575,0.13157894736842105,0.9097744360902256
CN_equal_3,major,clone8,chisel_5x_acCNA,0.49035314384151596,0.07581320450885667,0.8757894736842106,0.043478260869565216,0.014814814814814815,0.022099447513812157,-0.02737215128001469,0.12421052631578948,0.9658914728682171,0.043478260869565216,0.9035532994923858
CN_equal_3,major,clone9,chisel_5x_acCNA,0.46559806034482754,0.08321506857156324,0.8103508771929825,0.03525046382189239,0.032758620689655175,0.03395889186773905,-0.07103002576020412,0.18964912280701754,0.8984375,0.03525046382189239,0.8913001356326293
CN_equal_4,minor,normal,chisel_5x_acCNA,,,1.0,0.0,0.0,0.0,,0.0,,,
CN_equal_4,minor,clone1,chisel_5x_acCNA,,,0.9894736842105263,0.0,0.0,0.0,0.0,0.010526315789473684,,,
CN_equal_4,minor,clone2,chisel_5x_acCNA,0.495583038869258,0.0035087719298245615,0.9842105263157894,0.0,0.0,0.0,-0.007858546168958869,0.015789473684210527,0.991166077738516,0.0,0.9929203539823008
CN_equal_4,minor,clone3,chisel_5x_acCNA,0.4891500904159132,0.014912280701754385,0.9491228070175438,0.0,0.0,0.0,-0.025307033866765805,0.05087719298245614,0.9783001808318263,0.0,0.9695340501792115
CN_equal_4,minor,clone4,chisel_5x_acCNA,0.4910071942446043,0.012280701754385965,0.9578947368421052,0.0,0.0,0.0,-0.020895522388059806,0.042105263157894736,0.9820143884892086,0.0,0.975
CN_equal_4,minor,clone5,chisel_5x_acCNA,0.5168181818181818,0.09166666666666667,0.9508771929824561,0.1,0.05,0.06666666666666667,0.04431137724550904,0.04912280701754386,0.9836363636363636,0.1,0.9660714285714286
CN_equal_4,minor,clone6,chisel_5x_acCNA,0.5240236382322714,0.08283208020050124,0.9543859649122807,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.04804727646454254,0.0456140350877193,0.9766187050359713,0.07142857142857142,0.9766187050359713
